AvgSpotLen	BioSample	Experiment	Instrument	LibraryLayout	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	age	source_name	strain	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	cell_type	tissue
149	SAMN04346876	SRX1485699	NextSeq 500	PAIRED	2015-12-16	40265	18095	2015-12-18	SRR3019190	SRS1208873	GSM1973799	13.5 weeks	Spermatozoa_WGBS_13.5weeks_control	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346877	SRX1485700	NextSeq 500	PAIRED	2015-12-16	42882	19202	2015-12-18	SRR3019191	SRS1208875	GSM1973800	12 weeks	Spermatozoa_WGBS_12weeks_control	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346878	SRX1485701	NextSeq 500	PAIRED	2015-12-16	20935	9560	2015-12-18	SRR3019192	SRS1208872	GSM1973801	13 weeks	Spermatozoa_WGBS_13weeks_control	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346879	SRX1485702	NextSeq 500	PAIRED	2015-12-16	23627	10743	2015-12-18	SRR3019193	SRS1208871	GSM1973802	12 weeks	Spermatozoa_WGBS_12weeks_control	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346880	SRX1485703	NextSeq 500	PAIRED	2015-12-16	43475	19533	2015-12-18	SRR3019194	SRS1208870	GSM1973803	13.5 weeks	Spermatozoa_WGBS_13.5weeks_low protein	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346881	SRX1485704	NextSeq 500	PAIRED	2015-12-16	40651	18170	2015-12-18	SRR3019195	SRS1208868	GSM1973804	12 weeks	Spermatozoa_WGBS_12weeks_low protein	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346882	SRX1485705	NextSeq 500	PAIRED	2015-12-16	20419	9231	2015-12-18	SRR3019196	SRS1208869	GSM1973805	13 weeks	Spermatozoa_WGBS_13weeks_low protein	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346883	SRX1485706	NextSeq 500	PAIRED	2015-12-16	27242	12688	2015-12-18	SRR3019197	SRS1208867	GSM1973806	12 weeks	Spermatozoa_WGBS_12weeks_low protein	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346884	SRX1485707	NextSeq 500	PAIRED	2015-12-16	41733	18845	2015-12-18	SRR3019198	SRS1208865	GSM1973807	13.5 weeks	Spermatozoa_WGBS_13.5weeks_high fat	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
149	SAMN04346885	SRX1485708	NextSeq 500	PAIRED	2015-12-16	57583	26276	2015-12-18	SRR3019199	SRS1208864	GSM1973808	12 weeks	Spermatozoa_WGBS_12weeks_high fat	FVB/NJ	Bisulfite-Seq	PRJNA306155	GEO	public	sra	ncbi	0	RANDOM	GENOMIC	Mus musculus	ILLUMINA	SRP067447	Spermatozoa	Cauda epididymis and vas deferens
